number,title,composer,arranger,band
19,Traffic Jam,Keown,n/a,Drumline
231,Trojan March,Erikson,n/a,Concert
195,Trumpet Filigree,Walters,n/a,Concert
104,Trumpets Four,Ramsey,n/a,Concert
71,Twas the Night Before Christmas,Long,n/a,Concert
212,Two American Songs,Frundman,n/a,Concert
264,Two Carols,Charpentier,n/a,Concert
253,Tyrolean Christmas,Davis,n/a,Concert
168,U.S. Airforce Blue March,n/a,n/a,Marching
130,Under the Double Eagle,n/a,n/a,Marching
25,Valencia El Grande,n/a,n/a,Marching
282,Variations on a Korean Follk Song,Chance,n/a,Concert
